ingredient,adverse_event,count,IC025
Caffeine,ASPARTATE AMINOTRANSFERASE INCREASED,25,0.496876440738749
LACTOBACILLUS PLANTARUM,ALOPECIA,33,0.496464493956133
Caffeine,HYPERTHERMIA,4,0.495316105978796
PEPPERMINT POWDER,ABDOMINAL PAIN,5,0.493336604620641
PIPER NIGRUM,INJURY,4,0.49239799991823
Androstenedione,COELIAC DISEASE,13,0.491441619035136
DANDELION POWDER EXTRACT,ABDOMINAL PAIN,5,0.491134604876652
Zinc,UROGENITAL HAEMORRHAGE,7,0.490740531035158
CALCIUM-POTASSIUM SALT OF (-)-HYDROXYCITRIC ACID,ELEVATED MOOD,3,0.490483850620184
CALORIES,HYPERCHOLESTEROLAEMIA,4,0.489006585763731
FREE PLANT STEROLS,BLOOD PRESSURE INCREASED,46,0.485561620804377
Boron,INFECTION,11,0.484789137533546
"RIBO-2,3,4,5-TETRAHYDROXYVALERALDEHYDE, D-",URTICARIA,7,0.480265705642549
(4-AMINOBUTYL)GUANIDINIUM SULPHATE,HYPERTHERMIA,3,0.480196431686176
Creatine,GLOMERULAR FILTRATION RATE DECREASED,3,0.477993817858864
BRASSICA OLERACEA VAR. ITALICA,COELIAC DISEASE,13,0.477269822288141
Inositol,ALOPECIA,76,0.475795931085283
Tyrosine,ASPARTATE AMINOTRANSFERASE INCREASED,15,0.472475623469012
Quercetin,SYNCOPE,6,0.471281386395356
Wheat Bran,COLITIS,4,0.469861158601119
Nattokinase,BLOOD PRESSURE INCREASED,4,0.467252738766686
Cocoa,PANCREATITIS,4,0.467048199400057
D-GLUCURONO-GAMMA-LACTONE,HEART RATE ABNORMAL,3,0.465481696168227
Vitamin B12,CHEMICAL INJURY,21,0.465105644635765
FREE PLANT STEROLS,HAEMORRHAGE URINARY TRACT,4,0.46279932821892
POLY-(1->3)-N-ACELTYL-2-AMINO-2-DEOXY-3-O-BETA-D-GLUCOPYRANUROSYL-4-(OR 6-)SULFONYL-D-GALACTOSE,PHARYNGITIS,4,0.462599850173879
Tyrosine,ALANINE AMINOTRANSFERASE INCREASED,15,0.461259806596286
Zinc,PROSTATIC DISORDER,11,0.461126063000813
Potassium,DRUG-INDUCED LIVER INJURY,8,0.460765244412739
Boron,RENAL DISORDER,11,0.459517003650767
Raspberry Ketone,ASPARTATE AMINOTRANSFERASE INCREASED,4,0.459353568549003
PIPER NIGRUM,IRRITABILITY,5,0.459086492283854
CINNAMON BARK EXTRACT,DEHYDRATION,4,0.459057879805904
BLACK PEPPER,DEHYDRATION,6,0.458542585308033
Citicoline,VITAMIN B12 INCREASED,3,0.458484653808241
Irvingia gabonensis,HYPOKALAEMIA,4,0.457065917496573
Bromelain,ABDOMINAL DISTENSION,6,0.456706425783437
(S)-2-AMINO-3-METHYLBUTANOIC ACID,TACHYCARDIA,4,0.456412062955853
Glutamine,HEPATIC NECROSIS,4,0.454083466159756
Aloe,CHOLECYSTITIS,4,0.453688625036259
(4-AMINOBUTYL)GUANIDINIUM SULPHATE,LOSS OF CONSCIOUSNESS,6,0.453275606493078
Tyrosine,TACHYCARDIA,9,0.453122889233888
Indian Gooseberry,URTICARIA,9,0.451561566307768
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,ALANINE AMINOTRANSFERASE INCREASED,13,0.450853355195985
Irvingia gabonensis,ELEVATED MOOD,3,0.450507988459952
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,ALANINE AMINOTRANSFERASE INCREASED,13,0.450187136902408
Boron,MYOCARDIAL INFARCTION,19,0.449054854316478
Senna,BLOOD ALKALINE PHOSPHATASE INCREASED,4,0.448530474578953
PIPER NIGRUM,ELEVATED MOOD,3,0.448519251761103
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,HEPATIC ENZYME INCREASED,13,0.447944222235711
Boron,CARDIAC DISORDER,11,0.447639272440079
Garcinia,ELEVATED MOOD,3,0.446810497063867
BLUEBERRY POWDER,CEREBROVASCULAR ACCIDENT,4,0.445748674120985
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,HEPATIC ENZYME INCREASED,13,0.444067260160007
VACCINIUM MACROCARPON AITON (ERICACEAE),URINARY TRACT INFECTION,4,0.443125471579203
PHOSPHATIDYLSERINE-ENRICHED SOY LECITHIN,ALOPECIA,13,0.442719315057865
ILEX PARAGUARIENSIS,BLOOD CREATININE INCREASED,4,0.441040068711464
Artichoke,PANIC ATTACK,4,0.440102023219706
Devil's Claw,INJURY,4,0.438968806440242
MANGIFERA INDICA,PALPITATIONS,4,0.438896321535942
Biotin,HAIR GROWTH ABNORMAL,22,0.437669660800924
Tyrosine,HEART RATE INCREASED,23,0.437250460643879
PERSEA AMERICANA,PALPITATIONS,4,0.436307756384848
Green Coffee,HEPATIC FUNCTION ABNORMAL,5,0.43621041480013
L-Citrulline,HEART RATE INCREASED,12,0.435205654048757
CITRUS PARADISI,ACUTE HEPATIC FAILURE,3,0.432911224987524
Malic Acid,VITAMIN B12 INCREASED,3,0.432219687240207
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,HYPERBILIRUBINAEMIA,3,0.431959559410358
Molybdenum,CEREBROVASCULAR ACCIDENT,40,0.429627657460053
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,HEPATITIS ACUTE,4,0.429173442048823
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,HYPERBILIRUBINAEMIA,3,0.428572411037139
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,HEPATITIS ACUTE,4,0.428242112356725
Alfalfa,PHARYNGEAL OEDEMA,7,0.426224148051193
Acai,DIARRHOEA,8,0.425460241054322
ARGANIA SPINOSA,PALPITATIONS,4,0.42514021364631
Bacopa,NAUSEA,9,0.424711911627217
Boswellia,HEPATITIS ACUTE,3,0.422901875662524
Muira Puama,HYPERTENSION,8,0.419376514839005
Caffeine,ACUTE HEPATIC FAILURE,5,0.418914675936622
"(2R)-2-(ACETYLOXY)-3-CARBOXY-N,N,N-TRIMETHYL-1-PROPANAMINIUM INNER SALT",PSYCHOTIC DISORDER,3,0.418799321416218
ACTINIDIA CHINENSIS,PALPITATIONS,4,0.416839974974081
EXCLUSIVE BLEND   <P CLASS='INDENT01B' DATA-INGID='10361'>MILK THISTLE EXTRACT (SEED);</P><P CLASS='INDENT01B' DATA-INGID='5169'>INULIN;</P><P CLASS='INDENT01B' DATA-INGID='6436'>BEET ROOT POWDER (ROOT);</P><P CLASS='INDENT01B' DATA-INGID='10482'>LACTOBACILLUS ACIDOPHILUS (LACTOBACILLUS ACIDOPHILUS);</P><P CLASS='INDENT01B' DATA-INGID='10454'>HESPERIDIN COMPLEX (PEEL AND PULP);</P><P CLASS='INDENT01B' DATA-INGID='5254'>APPLE PECTIN;</P><P CLASS='INDENT01B' DATA-INGID='10484'>LEMON PECTIN;</P><P CLASS='INDENT01B' DATA-INGID='10346'>CHAMOMILE POWDERED EXTRACT (FLOWER);</P>,ABDOMINAL PAIN,5,0.416172379085708
LACTOBACILLUS SALIVARIUS,ALOPECIA,16,0.415425002533736
D-GLUCURONOLACTONE,VITAMIN B12 INCREASED,3,0.414756665509837
Papaya,ABDOMINAL PAIN UPPER,11,0.413584069390274
Molybdenum,URINARY HESITATION,11,0.413399389174808
Grape,JAUNDICE,11,0.413308878547237
FREE PLANT STEROLS,CYSTITIS,6,0.413176811451487
Silicon,FLUID RETENTION,7,0.411684892349747
Wine,CARDIAC ARREST,5,0.411075046518741
"1-CARBOXY-N,N,N-TRIMETHYLMETHANAMINIUM CHLORIDE",URTICARIA,7,0.410372225098732
CARROT,ABDOMINAL PAIN,5,0.410326426355768
CORN SILK STYLE AND STIGMA EXTRACT,ANXIETY,7,0.407942241146153
Garcinia,IRRITABILITY,5,0.407246170363935
DANDELION LEAF EXTRACT,ANXIETY,7,0.406398697320439
ASPARAGUS ROOT EXTRACT,ANXIETY,7,0.405267874515367
TOTAL CARBOHYDRATE,HEPATOMEGALY,5,0.404958309291732
Zinc,PROSTATIC SPECIFIC ANTIGEN INCREASED,12,0.40455612152705
Resveratrol,EAR INFECTION,4,0.403217422419784
CORN SILK EXTRACT,ANXIETY,7,0.400907469110832
Vitamin D,CHOKING,306,0.400824152646255
NIACINAMIDE,HAIR GROWTH ABNORMAL,16,0.400544526407289
Androstenedione,DERMATITIS CONTACT,6,0.400423099750546
SODIUM,RASH MACULAR,5,0.399696393308048
Shark Cartilage,ALOPECIA,5,0.399271913421876
Pantothenic Acid,URINARY RETENTION,36,0.399095730566764
CALCIUM/POTASSIUM SALT OF HYDROXYCITRIC ACID,BLOOD ALKALINE PHOSPHATASE INCREASED,4,0.39834547290783
St. John's Wort,HEADACHE,7,0.397127166848415
Senna,ASPARTATE AMINOTRANSFERASE INCREASED,5,0.39664468396342
Siberian Ginseng,HOT FLUSH,7,0.396186403145059
Caffeine,HYPOKALAEMIA,6,0.395373093863752
Potassium,CHROMATURIA,30,0.394739714895061
Green Coffee,INJURY,4,0.394484751853186
Silicon,HAEMORRHAGE URINARY TRACT,4,0.392288686219205
WHOLE PARSLEY HERB EXTRACT,ANXIETY,7,0.392287838607993
Indian Gooseberry,EMERGENCY CARE EXAMINATION,3,0.392259752301527
Zinc,PENILE HAEMORRHAGE,6,0.391369107235234
Vitamin D,GASTRIC HAEMORRHAGE,16,0.388964927349443
Broccoli,DIARRHOEA,10,0.388887406157099
LYCOPENE,PROSTATE CANCER,4,0.388677380340778
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,INJURY,4,0.388540655725207
PARSLEY HERB EXTRACT,ANXIETY,7,0.387859181627371
Tangerine,CEREBROVASCULAR ACCIDENT,5,0.387717086313794
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,INJURY,4,0.387567028952666
Inositol,WOUND,7,0.385379886486671
FREE PLANT STEROLS,DYSURIA,10,0.384344128877293
Alfalfa,BLOOD SODIUM DECREASED,4,0.383359807320233
Chromium,RENAL DISORDER,25,0.383339322518804
BRASSICA OLERACEA VAR. ITALICA,DERMATITIS CONTACT,6,0.382271847989
Caffeine,ALANINE AMINOTRANSFERASE INCREASED,23,0.382219145346282
CALCIUM-POTASSIUM SALT OF (-)-HYDROXYCITRIC ACID,BLOOD ALKALINE PHOSPHATASE INCREASED,4,0.381117147704742
Pomegranate,THYROIDITIS ACUTE,3,0.380856092457334
CALCIUM/POTASSIUM SALT OF HYDROXYCITRIC ACID,BIOPSY LIVER ABNORMAL,3,0.380194636026646
CALCIUM-POTASSIUM SALT OF (-)-HYDROXYCITRIC ACID,LIPASE INCREASED,3,0.379762993117168
Glucosamine Hydrochloride,ARTHRALGIA,8,0.378837132581196
CALCIUM/POTASSIUM SALT OF HYDROXYCITRIC ACID,LIPASE INCREASED,3,0.378402255641325
Dandelion,BLOOD CHOLESTEROL INCREASED,4,0.378017777092511
Green Coffee,HEPATIC ENZYME INCREASED,12,0.377328415266249
Rose Hip,RASH PRURITIC,8,0.376689010061678
FREE PLANT STEROLS,HAEMOPTYSIS,5,0.375137513612192
Chondroitin Sulfate,ARTHRALGIA,9,0.375080320360038
DRIED BLACK PEPPER EXTRACT,OEDEMA,3,0.374985873198601
Goji,URTICARIA,7,0.374558419071301
Tyrosine,MYOCARDIAL INFARCTION,10,0.374295630161473
L-Citrulline,HYPERTHERMIA,3,0.374222745033651
Selenium,PROSTATIC DISORDER,9,0.374048743786625
Garcinia,JAUNDICE,12,0.373782852374183
Vitamin D,VITAMIN D DECREASED,10,0.373216408018501
CALCIUM-POTASSIUM SALT OF (-)-HYDROXYCITRIC ACID,BIOPSY LIVER ABNORMAL,3,0.373205438028657
Caffeine,BLOOD CREATININE INCREASED,8,0.372490924317822
Phenylalanine,VITAMIN B12 INCREASED,3,0.371708521657806
Silicon,BLOOD PRESSURE FLUCTUATION,6,0.371149316822512
Siberian Ginseng,BLOOD PRESSURE,4,0.370476461299039
Bacopa,URTICARIA,5,0.369148485426852
"(2R)-2-(ACETYLOXY)-3-CARBOXY-N,N,N-TRIMETHYL-1-PROPANAMINIUM INNER SALT",DYSPEPSIA,4,0.368580220422653
Safflower,ACNE,5,0.366443221963837
LACTOBACILLUS ACIDOPHILUS,INTESTINAL OBSTRUCTION,5,0.36557436552406
Glucomannan,BLOOD ALKALINE PHOSPHATASE INCREASED,4,0.364077031850961
Aloe,LIVER INJURY,8,0.363086523036919
PROPRIETARY BLEND   <P CLASS='INDENT01B' DATA-INGID='8494'>GINGER ROOT EXTRACT (ROOT);</P><P CLASS='INDENT01B' DATA-INGID='3995'>GREEN TEA LEAF EXTRACT (LEAF);</P><P CLASS='INDENT01B' DATA-INGID='21314'>OOLONG TEA LEAF EXTRACT (LEAF);</P><P CLASS='INDENT01B' DATA-INGID='21257'>BLACK TEA LEAF EXTRACT (LEAF);</P><P CLASS='INDENT01B' DATA-INGID='21319'>POMEGRANATE RIND POWDER EXTRACT (RIND);</P>,JAUNDICE,7,0.362393175590994
Carrageenan,PHOTOPHOBIA,3,0.362282366677073
Cassia Cinnamon,INJURY,4,0.360076446307918
(BETA-HYDROXYETHYL)TRIMETHYLAMMONIUM,SKIN IRRITATION,11,0.359602249462766
(4-AMINOBUTYL)GUANIDINIUM SULPHATE,CARDIAC ARREST,3,0.35953003555641
Burdock,URTICARIA,5,0.359006619148043
Vitamin B12,PREMATURE BABY,8,0.358597892797789
Coffee,TACHYCARDIA,7,0.358287545831034
Coffee,ANXIETY,11,0.357968053482233
Zinc,GASTRIC HAEMORRHAGE,10,0.35623450619709
POMEGRANATE RIND EXTRACT,JAUNDICE,9,0.355861649109466
CALAMARINE OIL CONCENTRATE,BLOOD PRESSURE INCREASED,3,0.355466777210987
FISH OIL,FOREIGN BODY TRAUMA,70,0.355087552443415
COENZYME Q10,NEPHROLITHIASIS,5,0.354932497281646
Green Coffee,JAUNDICE,13,0.354777861340197
Green Tea,HEART RATE INCREASED,11,0.354758973086777
Nattokinase,DIZZINESS,4,0.353511427715437
Green Coffee,HEART RATE INCREASED,18,0.352960351975136
Vanadium,DYSURIA,17,0.352215794231937
Rhodiola,HYPERTHERMIA,3,0.352078639794004
GADUS MORHUA,THROAT TIGHTNESS,4,0.35180183302781
"(2R)-2-(ACETYLOXY)-3-CARBOXY-N,N,N-TRIMETHYL-1-PROPANAMINIUM INNER SALT",AGGRESSION,3,0.351772798947025
POMEGRANATE RIND POWDER EXTRACT,JAUNDICE,7,0.351646507199709
Caffeine,HEART RATE INCREASED,36,0.351472215611906
DRIED PINE BARK EXTRACT,JAUNDICE,9,0.350063257196794
Milk Thistle,DYSPEPSIA,18,0.350034513259577
Yohimbe,HEART RATE INCREASED,8,0.3496597856457
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,ASPARTATE AMINOTRANSFERASE INCREASED,12,0.349640056275059
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,ASPARTATE AMINOTRANSFERASE INCREASED,12,0.348197286401035
Horny Goat Weed,SYNCOPE,5,0.347812745887314
Glutamine,BLOOD BILIRUBIN INCREASED,9,0.346945823654655
Rhodiola,TROPONIN I INCREASED,3,0.346079375618471
Alfalfa,ABDOMINAL DISCOMFORT,7,0.345367290156027
MARINE LIPID COMPLEX,OEDEMA,3,0.344613092211822
Tyrosine,METABOLIC ACIDOSIS,3,0.344160039267889
Silicon,CARDIAC DISORDER,9,0.344042151544828
Malic Acid,SLEEP DISORDER,3,0.343971022120564
Ginkgo,DYSARTHRIA,4,0.343720779315939
SUGAR,RASH,3,0.343422030443887
NARINGIN,DEHYDRATION,4,0.342689034104732
LACTOBACILLUS PLANTARUM,ABDOMINAL DISTENSION,10,0.33975732516905
RHODIOLA ROOT EXTRACT,JAUNDICE,9,0.33901852667282
Silicon,BLOOD GLUCOSE INCREASED,12,0.338965507095771
Aloe,NERVOUSNESS,7,0.33685691562065
Cat's Claw,ARTHRALGIA,6,0.336019515054685
Caffeine,TROPONIN INCREASED,4,0.335244586838156
Capsicum,PANCREATITIS,6,0.335138377149526
Selenium,DYSURIA,30,0.334107601350433
Selenium,CEREBROVASCULAR ACCIDENT,52,0.331776639377779
WHEY PROTEIN ISOLATE,BLOOD BILIRUBIN INCREASED,5,0.331740053470198
Garcinia,PANCREATITIS,5,0.331445658572893
5-HTP,CONFUSIONAL STATE,5,0.331391413272387
Citicoline,TRANSIENT ISCHAEMIC ATTACK,3,0.330590892671064
DHEA,AGGRESSION,3,0.329509852020512
COD LIVER OIL,EMOTIONAL DISTRESS,4,0.329442974441101
ROSMARINUS OFFICINALIS,HEPATIC FAILURE,3,0.329378392718843
ARGANIA SPINOSA,CHEST PAIN,4,0.329109389848178
Aloe,ABDOMINAL PAIN,27,0.324709441339277
Devil's Claw,ANOREXIA,5,0.324361090538168
BLACK TEA LEAF EXTRACT,HAEMATEMESIS,4,0.323910359410493
PHOSPHORE,PRODUCTIVE COUGH,3,0.323445928565307
PERSEA AMERICANA,CHEST PAIN,4,0.322673356651926
FREE PLANT STEROLS,NEPHROLITHIASIS,7,0.322082813844788
OOLONG TEA LEAF EXTRACT,JAUNDICE,7,0.321994145400577
Grape,FOOD POISONING,4,0.321726032108718
Aloe,GASTROINTESTINAL INFLAMMATION,4,0.321690811571566
Wine,METABOLIC ACIDOSIS,3,0.320744124612071
ACTINIDIA CHINENSIS,CHEST PAIN,4,0.320725926573163
Biotin,WOUND,16,0.32063492163163
GINGER ROOT EXTRACT,HAEMATEMESIS,4,0.319562014497363
MANGIFERA INDICA,CHEST PAIN,4,0.319055727570716
Terminalia,HYPERSENSITIVITY,6,0.318382574728212
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,CARDIAC ENZYMES INCREASED,3,0.318010296618916
Silicon,BLOOD PRESSURE INCREASED,47,0.317892990310612
CALORIES,POISONING,6,0.31623642163213
Molybdenum,THROMBOSIS,18,0.314315571048319
Chromium,PROSTATIC DISORDER,9,0.313499469695196
Black Cohosh,DRUG-INDUCED LIVER INJURY,3,0.31346438691597
BIFIDOBACTERIUM ANIMALIS SUBSP. LACTIS,ABDOMINAL DISTENSION,9,0.312510137152187
L-Arginine,HYPERTHERMIA,3,0.312326342649613
STREPTOCOCCUS SALIVARIUS SUBSP. THERMOPHILUS,ALOPECIA,17,0.312294743058956
SODIUM,OROPHARYNGEAL SWELLING,6,0.312189168663942
CALORIES,URINE URIC ACID ABNORMAL,3,0.311529834767352
CALCAREA MURIATICA,HIP FRACTURE,3,0.311393506410813
CRATAEGUS LAEVIGATA,ALOPECIA,31,0.311051559384926
Licorice,PHARYNGEAL OEDEMA,8,0.310728655087482
"RIBO-2,3,4,5-TETRAHYDROXYVALERALDEHYDE, D-",PHARYNGEAL OEDEMA,4,0.31021530072165
FISH OIL,DYSPHAGIA,94,0.309885738472559
4-ALPHA-D-GLUCAN GLUCANOHYDROLASE,BURNING SENSATION,7,0.307799004101801
White Mulberry,HEART RATE INCREASED,8,0.307714399764096
Lemon,EMERGENCY CARE EXAMINATION,4,0.307374554913399
"3,3',4',5,7-PENTAHYDROXYFLAVONE",COELIAC DISEASE,9,0.306488021082575
COFFEA CANEPHORA,DEHYDRATION,4,0.305858180103414
Sweet Orange,COELIAC DISEASE,11,0.305146199990244
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,CONVULSION,11,0.304013039646681
GINGER ROOT EXTRACT,CHEST PAIN,9,0.303486715169667
Cranberry,PANCREATITIS,5,0.302164136783259
Molybdenum,URINARY TRACT INFECTION,20,0.30184666320447
Corn Silk,DIARRHOEA,5,0.301475927466479
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,CARDIAC ENZYMES INCREASED,3,0.299359472440737
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,CONVULSION,11,0.299228954687641
Theanine,LIVER FUNCTION TEST ABNORMAL,9,0.298941043059054
Selenium,RECTAL HAEMORRHAGE,27,0.297137901043981
FOENICULUM VULGARE. SUBSP. VULGARE VAR. DULCE,NAUSEA,7,0.296472677816902
American Ginseng,LOSS OF CONSCIOUSNESS,7,0.295925513448684
Vitamin D,URINARY RETENTION,36,0.29575965070437
Boron,HAEMORRHAGE URINARY TRACT,4,0.294918467892781
Potassium,SOMNOLENCE,14,0.293964120216207
Androstenedione,ALOPECIA,102,0.293953305985092
Red Clover,LIVER FUNCTION TEST ABNORMAL,3,0.293926577332004
American Ginseng,URTICARIA,7,0.293647970054404
Pantothenic Acid,HAEMATOCHEZIA,111,0.293572416574424
FISH OIL,CHOKING,124,0.293543059856031
"(3R,3'R)-BETA,BETA-CAROTENE-3,3'-DIOL",BLOOD PRESSURE INCREASED,10,0.293315585989347
N-[2-(5-METHOXYINDOL-3-YL) ETHYL] ACETAMIDE,INSOMNIA,6,0.291967798079661
SUPERCITRIMAX GARCINIA CAMBOGIA [FRUIT RIND] EXTRACT,RASH,3,0.291662982896701
Green Coffee,PALPITATIONS,13,0.289855946482817
SODIUM,THIRST,3,0.289667453170507
TOTAL CARBOHYDRATE,COLITIS,4,0.289300584478889
Hawthorn,ABASIA,3,0.288843309238956
Iron,ALOPECIA,189,0.288481627876693
Methionine,PARTIAL SEIZURES,3,0.288207099474457
Alfalfa,VOMITING,25,0.288106015541702
Gelatin,THYROID FUNCTION TEST ABNORMAL,3,0.287373086322501
WITH PYGEUM,RENAL FAILURE,3,0.287127206090759
CALORIES,BRAIN INJURY,3,0.285805166350722
Methylsulfonylmethane,FAECES DISCOLOURED,6,0.28570455990534
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,HOSPITALISATION,6,0.285495173046406
Parsley,YELLOW SKIN,3,0.285185879007583
BIFIDOBACTERIUM LONGUM SUBSP. LONGUM,ABDOMINAL DISTENSION,9,0.285034356309086
"(3R,3'R,6'R)-BETA,EPSILON-CAROTENE-3,3'-DIOL",RENAL DISORDER,5,0.284186717312084
Methylsulfonylmethane,ARTHRALGIA,8,0.284176280835851
Methionine,URTICARIA,16,0.284080122807094
Folic Acid,HEPATIC FIBROSIS,3,0.283579530647486
Tyrosine,INJURY,4,0.283199723958894
Parsley,MALAISE,8,0.282639517046578
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,ABDOMINAL PAIN,22,0.282238195498345
Lipase,BURNING SENSATION,8,0.28211431176062
Lactase,ABDOMINAL PAIN UPPER,10,0.280803051064858
Silicon,CYSTITIS,6,0.280254224999736
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,HOSPITALISATION,6,0.279662120924628
Vitamin C,CHOKING,204,0.279624649268913
Selenium,PROSTATE CANCER,13,0.279276672248874
Maca,CHEST PAIN,8,0.278620854272181
Boron,BLOOD PRESSURE INCREASED,54,0.278557898709833
MULTI-ANTHOCYANIDINS,BLOOD PRESSURE INCREASED,9,0.278218601382519
Green Coffee,TRANSAMINASES INCREASED,4,0.277711096857785
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,ABDOMINAL PAIN,22,0.277598875786775
Phaseolus Vulgaris,VOMITING,5,0.276759738016446
Wine,BLOOD CREATINE PHOSPHOKINASE INCREASED,6,0.276238661604151
Conjugated Linoleic Acid,PALPITATIONS,6,0.276155667786915
Green Coffee,ASPARTATE AMINOTRANSFERASE INCREASED,11,0.275254559272549
Capsicum,INJURY,4,0.274819873916999
Rhodiola,RHABDOMYOLYSIS,4,0.274618404365066
Zinc,SCROTAL SWELLING,5,0.274496591432206
OCIMUM BASILICUM,ABDOMINAL PAIN UPPER,3,0.27264199137552
BRASSICA OLERACEA VAR. ITALICA,ALOPECIA,102,0.272279783842822
Safflower,GAIT DISTURBANCE,6,0.271858456230289
POLYUNSATURATED FAT,CHOKING,6,0.271318597385247
Tyrosine,CARDIAC DISORDER,6,0.271300052782969
Carrageenan,LETHARGY,3,0.271230842784678
Alpha-Lipoic Acid,JAUNDICE,19,0.271175827569615
(4-AMINOBUTYL)GUANIDINIUM SULPHATE,BLOOD CREATININE INCREASED,3,0.271112453064389
